regime,metric,seed_mean,seed_sd,pooled_count,min,p05,median,p95,max
hard,after.accuracy,0.34625,0.02490607355646409,300,0.0,0.0,0.375,0.875,1.0
hard,after.nll,1.358450678785642,0.015319513728212102,300,0.5396748781204224,0.8105527490377427,1.3106738328933716,2.104616248607636,2.6824021339416504
hard,after.margin,-0.03128793271724135,0.001253795571143291,300,-0.22094875574111938,-0.14488059058785438,-0.021415837109088898,0.051673553884029395,0.1798342913389206
hard,after.query_nll,1.3584506828648348,0.01531951489879881,2400,0.13014550507068634,0.4943737432360649,1.3198395371437073,2.40097655057907,3.7062182426452637
hard,after.update_norm,0.08045685614148776,0.006003666909819452,300,0.008544979616999626,0.026459646318107842,0.07925302162766457,0.14030128419399263,0.17894548177719116
hard,after.accuracy_delta,0.04708333333333334,0.02005201569252661,300,-0.625,-0.125,0.0,0.5,0.875
hard,after.nll_delta,-0.11139690895875295,0.03934851405003325,300,-0.6956727504730225,-0.5061035275459289,-0.06642824411392212,0.08446383476257337,0.3076617121696472
hard,after.margin_delta,0.018494634019831816,0.005305799231694175,300,-0.048373833298683167,-0.01762551683932543,0.009963362477719784,0.07882568612694742,0.1433500088751316
hard,after.query_nll_delta,-0.11139690753382941,0.039348507710638705,2400,-0.8689572811126709,-0.5417843937873841,-0.08456647396087646,0.21192787885665876,0.5620264708995819
hard,after.episode_nll_improves,0.7133333333333334,0.06506407098647712,300,0.0,0.0,1.0,1.0,1.0
hard,after.query_nll_improves_fraction,0.6341666666666667,0.03375771516754849,300,0.0,0.0,0.625,1.0,1.0
hard,O1_inner_loss_before,1.6713151594003042,0.027236445362621733,300,1.404733657836914,1.4354178309440613,1.6244004964828491,2.0290877699851992,2.2942309379577637
hard,O1_inner_loss_after,1.5437765256563822,0.01200924928106147,300,1.3957136869430542,1.4159855544567108,1.5204170942306519,1.780236178636551,1.844024419784546
hard,own_inner_loss_before,1.6713151594003042,0.027236445362621733,300,1.404733657836914,1.4354178309440613,1.6244004964828491,2.0290877699851992,2.2942309379577637
hard,own_inner_loss_after,1.5437765256563822,0.01200924928106147,300,1.3957136869430542,1.4159855544567108,1.5204170942306519,1.780236178636551,1.844024419784546
hard,step.chosen_eta,0.05000000074505806,0.0,300,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806
hard,step.backtracking_trials,1.0,0.0,300,1.0,1.0,1.0,1.0,1.0
hard,step.step_accepted,1,0.0,300,True,1.0,1.0,1.0,True
hard,step.step_rejected,0,0.0,300,False,0.0,0.0,0.0,False
