method,regime,metric,seed_mean_average,seed_mean_std,pooled_count,pooled_min,pooled_p05,pooled_median,pooled_p95,pooled_max
C0,easy,alignment.cosine,0.4106405133195221,0.2787286589335989,300,-0.8705061078071594,-0.6256754994392395,0.6038753986358643,0.8867481976747513,0.9557448625564575
C0,easy,alignment.dot,102.09001574382187,74.51080552108591,300,-121.45169067382812,-23.656640434265135,56.16998481750488,393.9526062011719,713.3147583007812
C0,easy,alignment.gradient_norm,14.053244610627491,4.1808768724938385,300,3.059521436691284,6.401307320594788,13.01412296295166,24.485471630096438,30.679250717163086
C0,easy,alignment.task_gradient_norm,10.362002965112527,2.7680815651453425,300,0.11623211205005646,0.6241953343153,8.114083290100098,27.248895549774172,31.657001495361328
C0,easy,raw_O1_alignment.cosine,0.4106405133195221,0.2787286589335989,300,-0.8705061078071594,-0.6256754994392395,0.6038753986358643,0.8867481976747513,0.9557448625564575
C0,easy,raw_O1_alignment.dot,102.09001574382187,74.51080552108591,300,-121.45169067382812,-23.656640434265135,56.16998481750488,393.9526062011719,713.3147583007812
C0,easy,raw_O1_alignment.gradient_norm,14.053244610627491,4.1808768724938385,300,3.059521436691284,6.401307320594788,13.01412296295166,24.485471630096438,30.679250717163086
C0,easy,raw_O1_alignment.task_gradient_norm,10.362002965112527,2.7680815651453425,300,0.11623211205005646,0.6241953343153,8.114083290100098,27.248895549774172,31.657001495361328
C0,easy,effective_direction.cosine,0.4106405170603345,0.27872865657259277,300,-0.8705059885978699,-0.6256754457950592,0.6038753986358643,0.886748081445694,0.9557449221611023
C0,easy,effective_direction.dot,5.104500968889333,3.7255404186949335,300,-6.072584629058838,-1.1828320920467377,2.808499574661255,19.69763116836548,35.66574478149414
C0,easy,effective_direction.gradient_norm,0.7026622468233108,0.2090438476970329,300,0.15297606587409973,0.3200653895735741,0.6507061123847961,1.2242736339569094,1.533962607383728
C0,easy,effective_direction.task_gradient_norm,10.362002965112527,2.7680815651453425,300,0.11623211205005646,0.6241953343153,8.114083290100098,27.248895549774172,31.657001495361328
C0,easy,before.accuracy,0.7758333333333334,0.09995571936279249,300,0.0,0.25,0.875,1.0,1.0
C0,easy,before.nll,0.5559194744362806,0.20889473537059772,300,0.005686507094651461,0.02851496515795589,0.3366798311471939,1.7930660724639893,2.9200637340545654
C0,easy,before.margin,0.2071880392326663,0.013715260003289792,300,-0.22809892892837524,-0.09160979762673378,0.22383016347885132,0.4639766976237298,0.5599768161773682
C0,easy,before.query_nll,0.5559194752642118,0.20889473712190973,2400,0.0007569308509118855,0.004293782939203084,0.13248343765735626,2.629509699344633,5.548318386077881
C0,easy,after.accuracy,0.39458333333333334,0.08361307214385398,300,0.0,0.0,0.375,1.0,1.0
C0,easy,after.nll,3.4482424642642338,0.9375614238755479,300,0.06909030675888062,0.31930946856737136,3.1565229892730713,8.346706438064576,11.81468677520752
C0,easy,after.margin,-0.2137928235437721,0.11626552758405023,300,-1.1776223182678223,-0.7910715460777282,-0.17415186762809753,0.2326624602079392,0.4384864866733551
C0,easy,after.query_nll,3.448242472681989,0.9375614365668931,2400,0.00020787939138244838,0.00910207089036703,1.542836844921112,11.286167621612545,14.404541969299316
C0,easy,after.update_norm,0.7026622439920902,0.20904384962439793,300,0.15297606587409973,0.32006538808345797,0.6507061421871185,1.2242736339569094,1.533962607383728
C0,easy,after.accuracy_delta,-0.38125,0.12278029157808676,300,-1.0,-1.0,-0.5,0.5,0.875
C0,easy,after.nll_delta,2.892322989827953,0.9012331301537393,300,-2.2180643677711487,-0.846235477924347,2.532286435365677,8.182830281648785,11.647039011120796
C0,easy,after.margin_delta,-0.4209808627764384,0.1223296292878564,300,-1.6183449923992157,-1.196568176150322,-0.36989422142505646,0.20171290803700687,0.4881521984934807
C0,easy,after.query_nll_delta,2.8923229974177778,0.9012331484034589,2400,-5.4763707891106606,-1.954576288536191,0.9681741409003735,11.276493720128201,14.040661854669452
C0,easy,after.episode_nll_improves,0.18333333333333335,0.14047538337136986,300,0.0,0.0,0.0,1.0,1.0
C0,easy,after.query_nll_improves_fraction,0.35541666666666666,0.04004554698506856,300,0.0,0.0,0.375,0.7562500000000014,1.0
C0,easy,O1_inner_loss_before,2.257946434020996,0.39478798081646366,300,1.4929139614105225,1.6735691010951996,2.1997100114822388,3.0522119045257567,3.7511651515960693
C0,easy,O1_inner_loss_after,4.515531934897105,0.44051255396410727,300,1.5988373756408691,2.79629157781601,4.483916759490967,6.243058013916016,7.112284183502197
