method,regime,metric,seed_mean_average,seed_mean_std,pooled_count,pooled_min,pooled_p05,pooled_median,pooled_p95,pooled_max
C1,easy,before.query_nll,0.5559194752642118,0.20889473712190973,2400,0.0007569308509118855,0.004293782939203084,0.13248343765735626,2.629509699344633,5.548318386077881
C1,easy,after.accuracy,0.7445833333333334,0.14790375530504063,300,0.0,0.125,0.875,1.0,1.0
C1,easy,after.nll,0.6930917259678244,0.39560031174188015,300,0.01895138993859291,0.07365775853395462,0.44663651287555695,2.187669014930725,4.5673394203186035
C1,easy,after.margin,0.13270972033962608,0.05124788877458492,300,-0.4207801818847656,-0.10742001608014107,0.14699509739875793,0.3613305345177651,0.4928656220436096
C1,easy,after.query_nll,0.6930917282129424,0.3956003108630241,2400,0.0017071687616407871,0.011118939984589815,0.27464084327220917,3.0045058250427146,6.891397953033447
C1,easy,after.update_norm,0.1792802408337593,0.023906555049784794,300,0.12774695456027985,0.14220429509878157,0.18251153081655502,0.21466602385044098,0.23324505984783173
C1,easy,after.accuracy_delta,-0.031249999999999986,0.24648465976607956,300,-1.0,-0.75,0.0,0.625,0.875
C1,easy,after.nll_delta,0.13717225153154383,0.5883133382637921,300,-2.766713961958885,-1.4066738933324814,0.06392099149525166,1.81306438818574,4.39969165623188
C1,easy,after.margin_delta,-0.07447831889304021,0.06475546037945215,300,-0.8034037947654724,-0.46038099750876427,-0.08640261553227901,0.30330959465354684,0.4769056886434555
C1,easy,after.query_nll_delta,0.13717225294873062,0.5883133399979248,2400,-5.299837648868561,-2.1641719274222853,0.02914245519787073,2.775027032941579,6.5590658485889435
C1,easy,after.episode_nll_improves,0.4633333333333333,0.25482019804821854,300,0.0,0.0,0.0,1.0,1.0
C1,easy,after.query_nll_improves_fraction,0.47333333333333333,0.1031862192026306,300,0.0,0.0,0.5,1.0,1.0
C1,easy,O1_inner_loss_before,2.257946434020996,0.39478798081646366,300,1.4929139614105225,1.6735691010951996,2.1997100114822388,3.0522119045257567,3.7511651515960693
C1,easy,O1_inner_loss_after,2.776224667628606,0.4471769699673077,300,1.6289286613464355,1.9263267278671266,2.724624752998352,3.930285453796387,4.518796920776367
C1,easy,own_inner_loss_before,2.257946434020996,0.39478798081646366,300,1.4929139614105225,1.6735691010951996,2.1997100114822388,3.0522119045257567,3.7511651515960693
C1,easy,own_inner_loss_after,2.776224667628606,0.4471769699673077,300,1.6289286613464355,1.9263267278671266,2.724624752998352,3.930285453796387,4.518796920776367
C1,easy,step.step_scale,0.29776298205057783,0.0567298980628408,300,0.12178056687116623,0.154129196703434,0.27230872213840485,0.5618074476718903,0.9397174715995789
C1,easy,step.chosen_eta,0.01488814934467276,0.002836494923046152,300,0.006089028436690569,0.007706460100598634,0.013615436386317015,0.028090372029691935,0.04698587581515312
C1,easy,step.norm_guarded,0,0.0,300,False,0.0,0.0,0.0,False
C1,easy,step.O0_gradient_norm,3.5856047519048055,0.4781310830403909,300,2.554939031600952,2.8440859079360963,3.6502305269241333,4.293320202827454,4.6649017333984375
C1,easy,step.O0_update_budget,0.17928024058540662,0.023906554839647903,300,0.12774695456027985,0.14220428243279457,0.18251152336597443,0.2146659955382347,0.23324507474899292
C1,easy,step.budget_absolute_error,1.1473894119262696e-08,2.0701354726329154e-09,300,0.0,0.0,1.4901161193847656e-08,2.9802322387695312e-08,4.470348358154297e-08
C1,easy,representation_shift,0.5207005606094995,0.07457685114826987,300,0.3516598045825958,0.411438612639904,0.5223938822746277,0.6297883599996568,0.6909666657447815
C1,easy,normal_output_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
C1,easy,normal_state_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
C1,easy,nonfinite_elements,0,0.0,300,0,0.0,0.0,0.0,0
C1,easy,all_finite,1,0.0,300,True,1.0,1.0,1.0,True
C1,hard,alignment.cosine,0.2509101163689047,0.04570942723556213,300,-0.9105117321014404,-0.7916520297527313,0.3885921388864517,0.8513812929391861,0.9531872272491455
C1,hard,alignment.dot,10.176793862581253,3.8335770156604583,300,-26.016494750976562,-10.332283353805542,6.650680780410767,42.56042041778564,96.20990753173828
