branch,seed,step,split,regime,path,accuracy,nll,margin
P_C2_warm,17,200,train_seen_at_final,hard,after,0.54625,1.1773871237039566,0.0053330156952142715
P_C2_warm,17,200,train_seen_at_final,hard,training_objective,0.54625,1.1773871237039566,0.0053330156952142715
P_C2_warm,17,200,heldout,easy,before,0.6675,0.7599546394171193,0.20378203930333258
P_C2_warm,17,200,heldout,easy,after,0.89375,0.28947002996690574,0.24907798551023005
P_C2_warm,17,200,heldout,easy,training_objective,0.89375,0.28947002996690574,0.24907798551023005
P_C2_warm,17,200,heldout,hard,before,0.40375,1.3045358142256738,-0.023735188143327833
P_C2_warm,17,200,heldout,hard,after,0.47,1.1882363110780716,-0.0044639943586662414
P_C2_warm,17,200,heldout,hard,training_objective,0.47,1.1882363110780716,-0.0044639943586662414
P_C2_warm,17,400,train_seen_at_final,easy,before,0.9975,0.033724568978941535,0.5254140612483025
P_C2_warm,17,400,train_seen_at_final,easy,after,0.99125,0.039246547784423456,0.5098699222505093
P_C2_warm,17,400,train_seen_at_final,easy,training_objective,0.99125,0.039246547784423456,0.5098699222505093
P_C2_warm,17,400,train_seen_at_final,hard,before,0.6,1.0981028270721436,0.01328003529459238
P_C2_warm,17,400,train_seen_at_final,hard,after,0.64375,1.1065020298957824,0.016279581077396868
P_C2_warm,17,400,train_seen_at_final,hard,training_objective,0.64375,1.1065020298957824,0.016279581077396868
P_C2_warm,17,400,heldout,easy,before,0.71,0.6635724888416007,0.2268176558893174
P_C2_warm,17,400,heldout,easy,after,0.92,0.23356874066404998,0.274170259963721
P_C2_warm,17,400,heldout,easy,training_objective,0.92,0.23356874066404998,0.274170259963721
P_C2_warm,17,400,heldout,hard,before,0.40625,1.2947138035297394,-0.022745189163833855
P_C2_warm,17,400,heldout,hard,after,0.46125,1.201086275577545,-0.007953939186409116
P_C2_warm,17,400,heldout,hard,training_objective,0.46125,1.201086275577545,-0.007953939186409116
P_O0_resume,27,0,train_seen_at_final,easy,before,1.0,0.014548514027846977,0.5545019063353539
P_O0_resume,27,0,train_seen_at_final,easy,after,0.94875,0.18359415599377826,0.42303652115166185
P_O0_resume,27,0,train_seen_at_final,easy,training_objective,1.0,0.03139709066483192,0.4492588149011135
P_O0_resume,27,0,train_seen_at_final,hard,before,0.46875,1.229384657740593,-0.007483183592557907
P_O0_resume,27,0,train_seen_at_final,hard,after,0.41375,1.2955181235074997,-0.024080730974674225
P_O0_resume,27,0,train_seen_at_final,hard,training_objective,0.49625,1.250095454454422,-0.003105122148990631
P_O0_resume,27,0,heldout,easy,before,0.89125,0.32285109363496306,0.22009868528693916
P_O0_resume,27,0,heldout,easy,after,0.80875,0.45404423791915177,0.17920943047851323
P_O0_resume,27,0,heldout,easy,training_objective,0.91625,0.3147295276075602,0.19028801340609788
P_O0_resume,27,0,heldout,hard,before,0.37625,1.3319190782308579,-0.028078518323600293
P_O0_resume,27,0,heldout,hard,after,0.41375,1.2605119532346725,-0.0159631703235209
P_O0_resume,27,0,heldout,hard,training_objective,0.39,1.2962085217237473,-0.018572104275226594
P_O0_resume,27,50,train_seen_at_final,easy,before,1.0,0.012096198017534334,0.5624426510930062
P_O0_resume,27,50,train_seen_at_final,easy,after,0.94,0.23986544514540584,0.4016950423642993
P_O0_resume,27,50,train_seen_at_final,easy,training_objective,1.0,0.026769222506554797,0.47130474358797075
P_O0_resume,27,50,train_seen_at_final,hard,before,0.4575,1.1898658257722854,-0.002364421524107456
P_O0_resume,27,50,train_seen_at_final,hard,after,0.40625,1.2697255447506905,-0.020525493398308753
P_O0_resume,27,50,train_seen_at_final,hard,training_objective,0.5025,1.2186717718839646,0.0010796745121479034
P_O0_resume,27,50,heldout,easy,before,0.87,0.36195335745811463,0.2379696173220873
P_O0_resume,27,50,heldout,easy,after,0.82625,0.41471722269430755,0.1810199612006545
P_O0_resume,27,50,heldout,easy,training_objective,0.90875,0.29840648151934146,0.21346083022654055
P_O0_resume,27,50,heldout,hard,before,0.39,1.2748135727643968,-0.018868876565247775
P_O0_resume,27,50,heldout,hard,after,0.4075,1.2341814056038856,-0.013248556964099408
P_O0_resume,27,50,heldout,hard,training_objective,0.40375,1.261366749405861,-0.012406719699501991
P_O0_resume,27,100,train_seen_at_final,easy,before,1.0,0.010632866526138969,0.590923800766468
P_O0_resume,27,100,train_seen_at_final,easy,after,0.91375,0.29157034278847277,0.39140971697866916
P_O0_resume,27,100,train_seen_at_final,easy,training_objective,1.0,0.01913437888259068,0.5108189687132836
P_O0_resume,27,100,train_seen_at_final,hard,before,0.49625,1.1644161474704742,0.001180926114320755
P_O0_resume,27,100,train_seen_at_final,hard,after,0.43875,1.2147662615776063,-0.012377656698226928
P_O0_resume,27,100,train_seen_at_final,hard,training_objective,0.54625,1.1966168129444121,0.0034973962604999543
P_O0_resume,27,100,heldout,easy,before,0.85125,0.41951111445203426,0.24217026196420194
P_O0_resume,27,100,heldout,easy,after,0.84875,0.3743738545104861,0.20385570731014013
P_O0_resume,27,100,heldout,easy,training_objective,0.89,0.3019110481068492,0.22741090953350068
P_O0_resume,27,100,heldout,hard,before,0.40125,1.2793392288684844,-0.020189010109752416
P_O0_resume,27,100,heldout,hard,after,0.4375,1.2372038125991822,-0.013061066269874572
P_O0_resume,27,100,heldout,hard,training_objective,0.395,1.2589022874832154,-0.013511237949132919
P_O0_resume,27,200,train_seen_at_final,easy,before,1.0,0.01105471187416697,0.6012792620062828
P_O0_resume,27,200,train_seen_at_final,easy,after,0.8875,0.46763736340159084,0.38018948573619127
P_O0_resume,27,200,train_seen_at_final,easy,training_objective,1.0,0.01593120200035628,0.5456944128870964
P_O0_resume,27,200,train_seen_at_final,hard,before,0.5925,1.101615208387375,0.010427000746130944
P_O0_resume,27,200,train_seen_at_final,hard,after,0.49,1.1642926225066186,-0.0038473580032587053
P_O0_resume,27,200,train_seen_at_final,hard,training_objective,0.60625,1.1459982055425644,0.009050456061959266
P_O0_resume,27,200,heldout,easy,before,0.8875,0.2995641615428031,0.27579502046108245
P_O0_resume,27,200,heldout,easy,after,0.75625,0.5321907956898212,0.20359192656353117
P_O0_resume,27,200,heldout,easy,training_objective,0.92125,0.23829607414081694,0.25900033380836246
P_O0_resume,27,200,heldout,hard,before,0.41125,1.2533202043175697,-0.017142154816538094
P_O0_resume,27,200,heldout,hard,after,0.45625,1.2210519820451737,-0.010033966284245252
P_O0_resume,27,200,heldout,hard,training_objective,0.4025,1.2430377382040023,-0.012540328130126
P_O0_resume,27,400,train_seen_at_final,easy,before,1.0,0.009098204605979845,0.62640689432621
P_O0_resume,27,400,train_seen_at_final,easy,after,0.9175,0.33141650797449984,0.4114760074391961
P_O0_resume,27,400,train_seen_at_final,easy,training_objective,1.0,0.012367183948808815,0.5855287793278694
P_O0_resume,27,400,train_seen_at_final,hard,before,0.7425,0.9831595647335053,0.02888801336288452
