scope,feature,count,harm_count,harm_gt_005_count,spearman,auroc_harm,auroc_harm_gt_005
step/P_O0_resume/100/easy,delta_probability_gap,2400,1286,850,-0.5457188351942422,0.18580012341163363,0.12068918406072106
state/seed7_P_O0_resume_step100/easy,query_entropy,800,329,133,-0.6442819441905377,0.11346227066514368,0.34607884027910857
state/seed7_P_O0_resume_step100/easy,query_max_probability,800,329,133,0.6638347364439323,0.8919875579992127,0.6626292117099345
state/seed7_P_O0_resume_step100/easy,query_probability_gap,800,329,133,0.6693282098878279,0.8943397931065636,0.6650584482194992
state/seed7_P_O0_resume_step100/easy,query_js,800,329,133,-0.5023332302081722,0.23770158558070198,0.6028790116220085
state/seed7_P_O0_resume_step100/easy,representation_displacement,800,329,133,-0.11231691768268388,0.39705986744880906,0.6272051943952835
state/seed7_P_O0_resume_step100/easy,prediction_changed,800,329,133,-0.4578945505754613,0.3937202743951626,0.4491269402892539
state/seed7_P_O0_resume_step100/easy,delta_max_probability,800,329,133,-0.45607477511683614,0.17720816474035067,0.10487989088162686
state/seed7_P_O0_resume_step100/easy,delta_entropy,800,329,133,0.5175100664219788,0.8617827941584548,0.9035519834067929
state/seed7_P_O0_resume_step100/easy,delta_probability_gap,800,329,133,-0.43987242948817107,0.18686878464626128,0.1127594097687998
step/P_O0_resume/100/hard,query_entropy,2400,983,933,-0.002447950945824817,0.45564074086571216,0.4542281022071131
step/P_O0_resume/100/hard,query_max_probability,2400,983,933,-0.008253362543986552,0.546789421578263,0.5492423163107478
step/P_O0_resume/100/hard,query_probability_gap,2400,983,933,-0.0017028952609193162,0.5500128866812022,0.5523642317479731
step/P_O0_resume/100/hard,query_js,2400,983,933,-0.165189208366182,0.48342930740011386,0.493588493115055
step/P_O0_resume/100/hard,representation_displacement,2400,983,933,-0.16327037990805207,0.4729634556694577,0.47658344237753625
step/P_O0_resume/100/hard,prediction_changed,2400,983,933,-0.17022669577323293,0.46021964073799404,0.46804621282359826
step/P_O0_resume/100/hard,delta_max_probability,2400,983,933,-0.08329541637073201,0.3888145043007055,0.3850016548416722
step/P_O0_resume/100/hard,delta_entropy,2400,983,933,0.08789309164810619,0.6042388925064128,0.6098767380403898
step/P_O0_resume/100/hard,delta_probability_gap,2400,983,933,-0.09277782513503909,0.38767588166078093,0.38364271201152034
state/seed7_P_O0_resume_step100/hard,query_entropy,800,311,293,-0.017192628425981914,0.44979911756389773,0.4325921737315804
state/seed7_P_O0_resume_step100/hard,query_max_probability,800,311,293,0.010722649566639948,0.5639831929457716,0.5779967822498671
state/seed7_P_O0_resume_step100/hard,query_probability_gap,800,311,293,0.04500351563049317,0.5869778207379059,0.5982255252404898
state/seed7_P_O0_resume_step100/hard,query_js,800,311,293,-0.19228504263287913,0.47806074474450777,0.49475937556798677
