scope,feature,count,harm_count,harm_gt_005_count,spearman,auroc_harm,auroc_harm_gt_005
state/seed17_P_O0_resume_step100/hard,chosen_eta,100,44,36,-0.12745700053408016,0.49594155844155846,0.4661458333333333
state/seed17_P_O0_resume_step100/hard,backtracking_trials,100,44,36,0.12745700053408016,0.5040584415584416,0.5338541666666666
state/seed17_P_O0_resume_step100/hard,normalized_update,100,44,36,-0.16304830483048305,0.4549512987012987,0.5203993055555556
state/seed17_P_O0_resume_step100/hard,representation_shift,100,44,36,-0.15825982598259827,0.4577922077922078,0.5260416666666666
state/seed17_P_O0_resume_step100/hard,relative_inner_reduction,100,44,36,-0.21815781578157817,0.40584415584415584,0.4418402777777778
state/seed17_P_O0_resume_step100/hard,query_js,100,44,36,-0.15776777677767775,0.4476461038961039,0.5290798611111112
state/seed17_P_O0_resume_step100/hard,prediction_changed_fraction,100,44,36,-0.056841956684003624,0.5089285714285714,0.5835503472222222
state/seed17_P_O0_resume_step200/easy,query_entropy,100,33,26,-0.1600960096009601,0.40615106286748076,0.4807692307692308
state/seed17_P_O0_resume_step200/easy,query_max_probability,100,33,26,0.1755055505550555,0.6273179556761647,0.5519750519750519
state/seed17_P_O0_resume_step200/easy,query_probability_gap,100,33,26,0.1912271227122712,0.6377204884667571,0.5639293139293139
state/seed17_P_O0_resume_step200/easy,assignment_entropy,100,33,26,0.1805765993905499,0.5952057892356399,0.6044698544698545
state/seed17_P_O0_resume_step200/easy,assignment_probability_gap,100,33,26,-0.14478247824782478,0.42198100407055633,0.3913721413721414
state/seed17_P_O0_resume_step200/easy,inner_loss_before,100,33,26,-0.12234023402340234,0.4459520578923564,0.4490644490644491
state/seed17_P_O0_resume_step200/easy,gradient_norm,100,33,26,0.1861146114611461,0.5409317051108096,0.501039501039501
state/seed17_P_O0_resume_step200/easy,chosen_eta,100,33,26,-0.06704113018083112,0.5165083672546359,0.567047817047817
state/seed17_P_O0_resume_step200/easy,backtracking_trials,100,33,26,0.06704113018083112,0.4834916327453641,0.43295218295218296
state/seed17_P_O0_resume_step200/easy,normalized_update,100,33,26,-9.600960096009601e-05,0.5174129353233831,0.5634095634095634
state/seed17_P_O0_resume_step200/easy,representation_shift,100,33,26,-0.002436243624362436,0.5165083672546359,0.5582120582120582
state/seed17_P_O0_resume_step200/easy,relative_inner_reduction,100,33,26,-0.12362436243624363,0.46494798733604703,0.3991683991683992
state/seed17_P_O0_resume_step200/easy,query_js,100,33,26,-0.20703270327032702,0.45364088647670736,0.5717255717255717
state/seed17_P_O0_resume_step200/easy,prediction_changed_fraction,100,33,26,-0.3060697137933682,0.3810492989597467,0.4698544698544699
state/seed17_P_O0_resume_step200/hard,query_entropy,100,45,43,0.2041044104410441,0.5781818181818181,0.5736434108527132
state/seed17_P_O0_resume_step200/hard,query_max_probability,100,45,43,-0.164008400840084,0.4541414141414141,0.4602203182374541
state/seed17_P_O0_resume_step200/hard,query_probability_gap,100,45,43,-0.12644464446444645,0.4816161616161616,0.485516115871073
state/seed17_P_O0_resume_step200/hard,assignment_entropy,100,45,43,0.17276927692769278,0.6064646464646465,0.5940432476540187
state/seed17_P_O0_resume_step200/hard,assignment_probability_gap,100,45,43,-0.07071107110711071,0.45131313131313133,0.452468380252958
state/seed17_P_O0_resume_step200/hard,inner_loss_before,100,45,43,-0.18953495349534955,0.41454545454545455,0.44430844553243576
state/seed17_P_O0_resume_step200/hard,gradient_norm,100,45,43,-0.15971197119711972,0.41575757575757577,0.4532843737250102
state/seed17_P_O0_resume_step200/hard,chosen_eta,100,45,43,-0.07389014541818383,0.49454545454545457,0.48674010607915136
state/seed17_P_O0_resume_step200/hard,backtracking_trials,100,45,43,0.07389014541818383,0.5054545454545455,0.5132598939208486
state/seed17_P_O0_resume_step200/hard,normalized_update,100,45,43,-0.16842484248424844,0.4262626262626263,0.4614443084455324
state/seed17_P_O0_resume_step200/hard,representation_shift,100,45,43,-0.16697269726972697,0.43313131313131314,0.46960424316605465
state/seed17_P_O0_resume_step200/hard,relative_inner_reduction,100,45,43,-0.19409540954095408,0.4064646464646465,0.43370053039575684
state/seed17_P_O0_resume_step200/hard,query_js,100,45,43,-0.1632043204320432,0.4315151515151515,0.470828233374133
state/seed17_P_O0_resume_step200/hard,prediction_changed_fraction,100,45,43,-0.12079730797550652,0.4793939393939394,0.5089759281925744
state/seed17_P_O0_resume_step400/easy,query_entropy,100,54,49,0.20874887488748875,0.5905797101449275,0.6674669867947179
state/seed17_P_O0_resume_step400/easy,query_max_probability,100,54,49,-0.15186318631863185,0.4617552334943639,0.37975190076030413
state/seed17_P_O0_resume_step400/easy,query_probability_gap,100,54,49,-0.13683768376837685,0.4718196457326892,0.3869547819127651
state/seed17_P_O0_resume_step400/easy,assignment_entropy,100,54,49,0.07537953795379539,0.604669887278583,0.6106442577030813
